Geographic Area,2010,2011,2012,2013,2014,2015,2016
United States,"30,93,48,193","31,16,63,358","31,39,98,379","31,62,04,908","31,85,63,456","32,08,96,618","32,31,27,513"
Northeast,"5,53,88,056","5,56,32,766","5,58,29,059","5,59,88,771","5,61,16,791","5,61,84,737","5,62,09,510"
Midwest,"6,69,78,602","6,71,53,331","6,73,32,320","6,75,43,948","6,77,26,368","6,78,38,387","6,79,41,429"
South,"11,48,63,114","11,60,61,801","11,72,99,171","11,84,24,320","11,96,96,311","12,10,39,206","12,23,19,574"
West,"7,21,18,421","7,28,15,460","7,35,37,829","7,42,47,869","7,50,23,986","7,58,34,288","7,66,57,000"
Alabama,"47,85,492","47,99,918","48,15,960","48,29,479","48,43,214","48,53,875","48,63,300"
Alaska,"7,14,031","7,22,713","7,31,089","7,36,879","7,36,705","7,37,709","7,41,894"
Arizona,"64,08,312","64,67,163","65,49,634","66,24,617","67,19,993","68,17,565","69,31,071"
Arkansas,"29,21,995","29,39,493","29,50,685","29,58,663","29,66,912","29,77,853","29,88,248"
California,"3,73,32,685","3,76,76,861","3,80,11,074","3,83,35,203","3,86,80,810","3,89,93,940","3,92,50,017"
Colorado,"50,48,644","51,18,360","51,89,867","52,67,603","53,49,648","54,48,819","55,40,545"
Connecticut,"35,79,899","35,89,893","35,93,795","35,96,003","35,91,873","35,84,730","35,76,452"
Delaware,"8,99,816","9,07,924","9,16,993","9,25,395","9,34,948","9,44,076","9,52,065"
District of Columbia,"6,05,183","6,20,477","6,35,327","6,49,165","6,59,005","6,70,377","6,81,170"
Florida,"1,88,49,098","1,90,96,952","1,93,44,156","1,95,82,022","1,98,88,741","2,02,44,914","2,06,12,439"
Georgia,"97,13,521","98,11,610","99,14,668","99,84,938","1,00,87,231","1,01,99,398","1,03,10,371"
.Hawaii,"13,63,945","13,77,864","13,91,820","14,06,481","14,16,349","14,25,157","14,28,557"
.Idaho,"15,71,010","15,84,143","15,95,911","16,12,011","16,33,532","16,52,828","16,83,140"
.Illinois,"1,28,41,578","1,28,60,012","1,28,70,798","1,28,79,505","1,28,67,544","1,28,39,047","1,28,01,539"
.Indiana,"64,90,528","65,16,480","65,37,743","65,69,102","65,95,233","66,12,768","66,33,053"
.Iowa,"30,50,738","30,65,223","30,76,310","30,91,930","31,08,030","31,21,997","31,34,693"
.Kansas,"28,58,850","28,69,503","28,85,262","28,92,821","28,99,360","29,06,721","29,07,289"
.Kentucky,"43,48,662","43,69,354","43,84,799","44,00,477","44,13,057","44,24,611","44,36,974"
.Louisiana,"45,44,996","45,75,404","46,03,429","46,26,402","46,47,880","46,68,960","46,81,666"
.Maine,"13,27,730","13,28,231","13,28,895","13,29,076","13,30,719","13,29,453","13,31,479"
.Maryland,"57,88,584","58,43,603","58,89,651","59,31,129","59,67,295","59,94,983","60,16,447"
.Massachusetts,"65,65,524","66,11,923","66,58,008","67,06,786","67,49,911","67,84,240","68,11,779"
Michigan,"98,77,495","98,76,213","98,87,238","98,98,982","99,15,767","99,17,715","99,28,300"
.Minnesota,"53,11,147","53,48,562","53,80,285","54,18,521","54,53,109","54,82,435","55,19,952"
.Mississippi,"29,70,322","29,78,162","29,84,945","29,90,482","29,92,400","29,89,390","29,88,726"
.Missouri,"59,96,118","60,10,717","60,25,415","60,42,711","60,60,930","60,76,204","60,93,000"
.Montana,"9,90,641","9,97,821","10,05,196","10,14,314","10,22,867","10,32,073","10,42,520"
.Nebraska,"18,30,051","18,42,283","18,55,725","18,68,559","18,81,145","18,93,765","19,07,116"
